GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-main,com.increff.pos.dto,UserDto,0,49,0,2,0,14,0,6,0,5
pos-main,com.increff.pos.dto,BrandDto,0,56,0,2,0,16,0,6,0,5
pos-main,com.increff.pos.dto,ProductDto,0,50,0,0,0,14,0,6,0,6
pos-main,com.increff.pos.dto,OrdersDto,0,120,0,4,0,32,0,14,0,12
pos-main,com.increff.pos.dto,ReportsDto,5,48,0,0,1,13,0,9,0,9
pos-main,com.increff.pos.dto,DailyReportDto,0,10,0,0,0,4,0,2,0,2
pos-main,com.increff.pos.dto,InventoryDto,0,46,0,0,0,14,0,6,0,6
pos-main,com.increff.pos.client,InvoiceClient,0,128,0,0,0,21,0,6,0,6
pos-main,com.increff.pos.api,ProductApi,0,114,0,10,0,27,0,14,0,9
pos-main,com.increff.pos.api,OrdersApi,0,68,0,2,0,17,0,11,0,10
pos-main,com.increff.pos.api,BrandApi,6,125,3,9,0,32,2,15,0,11
pos-main,com.increff.pos.api,OrderItemsApi,0,115,0,10,0,26,0,14,0,9
pos-main,com.increff.pos.api,DailyReportApi,0,50,0,0,0,11,0,6,0,6
pos-main,com.increff.pos.api,InventoryApi,0,72,0,6,0,17,0,9,0,6
pos-main,com.increff.pos.api,UserApi,0,42,0,2,0,12,0,7,0,6
pos-main,com.increff.pos.model.data,OrderItemsData,3,14,0,0,1,3,1,4,1,4
pos-main,com.increff.pos.model.data,OrdersData,0,10,0,0,0,3,0,3,0,3
pos-main,com.increff.pos.model.data,MessageData,10,0,0,0,3,0,3,0,3,0
pos-main,com.increff.pos.model.data,BrandReportData,0,17,0,0,0,4,0,5,0,5
pos-main,com.increff.pos.model.data,InfoData,30,0,0,0,8,0,7,0,7,0
pos-main,com.increff.pos.model.data,DailyReportData,0,31,0,0,0,6,0,9,0,9
pos-main,com.increff.pos.model.data,SalesReportData,16,34,0,0,1,11,4,5,4,5
pos-main,com.increff.pos.model.data,ProductData,0,10,0,0,0,3,0,3,0,3
pos-main,com.increff.pos.model.data,BrandData,0,10,0,0,0,3,0,3,0,3
pos-main,com.increff.pos.model.data,UserData,3,7,0,0,1,2,1,2,1,2
pos-main,com.increff.pos.model.data,InventoryReportData,0,31,0,0,0,6,0,9,0,9
pos-main,com.increff.pos.model.data,OrderInvoiceData,148,21,30,0,1,4,20,6,5,6
pos-main,com.increff.pos.model.data,InventoryData,3,14,0,0,1,3,1,4,1,4
pos-main,com.increff.pos.model.form,SalesReportForm,12,35,0,0,4,12,0,9,0,9
pos-main,com.increff.pos.model.form,DailyReportForm,0,17,0,0,0,4,0,5,0,5
pos-main,com.increff.pos.model.form,UserForm,0,24,0,0,0,5,0,7,0,7
pos-main,com.increff.pos.model.form,OrdersForm,0,17,0,0,0,4,0,5,0,5
pos-main,com.increff.pos.model.form,InventoryForm,0,17,0,0,0,4,0,5,0,5
pos-main,com.increff.pos.model.form,OrderItemsForm,0,31,0,0,0,6,0,9,0,9
pos-main,com.increff.pos.model.form,BrandForm,0,17,0,0,0,4,0,5,0,5
pos-main,com.increff.pos.model.form,ProductForm,0,38,0,0,0,7,0,11,0,11
pos-main,com.increff.pos.controller,SiteUiController,52,3,0,0,13,1,13,1,13,1
pos-main,com.increff.pos.controller,SampleDownloadController,40,3,0,0,10,1,1,1,1,1
pos-main,com.increff.pos.controller,ReportsApiController,40,3,0,0,8,1,8,1,8,1
pos-main,com.increff.pos.controller,AbstractUiController,56,3,4,0,12,1,3,1,1,1
pos-main,com.increff.pos.controller,InventoryApiController,25,3,0,0,7,1,5,1,5,1
pos-main,com.increff.pos.controller,AppRestControllerAdvice,45,3,0,0,12,1,4,1,4,1
pos-main,com.increff.pos.controller,SignupController,85,3,2,0,24,1,2,1,1,1
pos-main,com.increff.pos.controller,ProductApiController,25,3,0,0,7,1,5,1,5,1
pos-main,com.increff.pos.controller,BrandApiController,20,3,0,0,6,1,4,1,4,1
pos-main,com.increff.pos.controller,OrdersApiController,49,3,0,0,13,1,10,1,10,1
pos-main,com.increff.pos.controller,LoginController,92,3,8,0,24,1,6,1,2,1
pos-main,com.increff.pos.helper,UserHelper,3,36,0,0,1,10,1,2,1,2
pos-main,com.increff.pos.helper,DailyReportHelper,3,58,0,2,1,15,1,3,1,2
pos-main,com.increff.pos.helper,BrandHelper,3,32,0,0,1,9,1,2,1,2
pos-main,com.increff.pos.helper,ProductHelper,3,48,0,0,1,13,1,2,1,2
pos-main,com.increff.pos.helper,ReportsHelper,3,147,6,6,1,39,7,4,1,4
pos-main,com.increff.pos.helper,OrdersHelper,3,185,0,4,1,45,1,8,1,6
pos-main,com.increff.pos.helper,InventoryHelper,3,32,0,0,1,9,1,2,1,2
pos-main,com.increff.pos.pojo,AbstractPojo,14,3,0,0,3,1,4,1,4,1
pos-main,com.increff.pos.pojo,ProductPojo,4,34,0,0,0,7,1,10,1,10
pos-main,com.increff.pos.pojo,InventoryPojo,0,17,0,0,0,4,0,5,0,5
pos-main,com.increff.pos.pojo,OrderItemsPojo,4,34,0,0,0,7,1,10,1,10
pos-main,com.increff.pos.pojo,OrdersPojo,4,20,0,0,0,5,1,6,1,6
pos-main,com.increff.pos.pojo,DailyReportPojo,0,31,0,0,0,6,0,9,0,9
pos-main,com.increff.pos.pojo,BrandPojo,4,20,0,0,0,5,1,6,1,6
pos-main,com.increff.pos.pojo,UserPojo,4,27,0,0,0,6,1,8,1,8
pos-main,com.increff.pos.util,IOUtil,11,0,2,0,7,0,3,0,2,0
pos-main,com.increff.pos.util,NormalizeFormUtil,3,77,0,0,1,18,1,6,1,6
pos-main,com.increff.pos.util,ValidateFormUtil,347,350,72,62,72,80,69,12,2,12
pos-main,com.increff.pos.util,SecurityUtil,60,0,2,0,16,0,7,0,6,0
pos-main,com.increff.pos.util,UserPrincipal,17,0,0,0,7,0,5,0,5,0
pos-main,com.increff.pos.spring,SecurityConfig,0,304,0,0,0,24,0,4,0,4
pos-main,com.increff.pos.spring,SpringSecurityInitializer,3,0,0,0,1,0,1,0,1,0
pos-main,com.increff.pos.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
pos-main,com.increff.pos.spring,ControllerConfig,4,174,0,0,2,32,1,8,1,8
pos-main,com.increff.pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos-main,com.increff.pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
pos-main,com.increff.pos.dao,DailyReportDao,0,92,0,0,0,17,0,5,0,5
pos-main,com.increff.pos.dao,OrderItemsDao,0,75,0,0,0,15,0,8,0,8
pos-main,com.increff.pos.dao,AbstractDao,0,292,0,0,0,54,0,11,0,11
pos-main,com.increff.pos.dao,ProductDao,0,34,0,0,0,7,0,6,0,6
pos-main,com.increff.pos.dao,OrdersDao,0,80,0,0,0,14,0,7,0,7
pos-main,com.increff.pos.dao,BrandDao,0,41,0,0,0,8,0,7,0,7
pos-main,com.increff.pos.dao,InventoryDao,0,20,0,0,0,5,0,4,0,4
pos-main,com.increff.pos.dao,UserDao,0,26,0,0,0,6,0,5,0,5
pos-main,com.increff.pos.flow,InventoryFlow,0,93,0,2,0,22,0,7,0,6
pos-main,com.increff.pos.flow,ProductFlow,0,97,0,2,0,22,0,7,0,6
pos-main,com.increff.pos.flow,DailyReportFlow,50,62,5,5,9,15,5,2,0,2
